gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:31:59,Nautilus,false,1,0,0,5,0,0,0,0,0,0,1,1
00:26:00,Rakan,true,1,0,0,2,0,1,0,0,0,0,4,2
00:19:44,Nautilus,false,0,0,0,2,0,1,0,0,0,0,0,0
00:27:29,Rakan,false,1,0,0,3,0,0,0,0,0,0,2,0
00:20:01,Ivern,true,0,0,0,1,0,0,0,0,0,0,0,1
00:31:29,Milio,true,0,0,0,4,0,0,0,0,0,0,0,1
00:39:45,Bard,true,1,0,0,1,0,6,0,0,0,0,0,0
00:34:12,Milio,false,0,1,0,13,0,3,0,1,0,0,0,2
00:21:55,Nautilus,false,0,0,0,1,0,0,0,0,0,0,0,0
00:26:55,Rell,true,0,0,0,5,0,5,0,0,0,0,1,2
00:22:51,Thresh,false,1,0,0,5,0,0,0,0,0,0,0,0
00:26:04,Nami,true,1,0,0,33,0,0,0,0,1,0,1,0
00:21:56,Kassadin,true,0,0,0,4,0,6,0,0,0,0,0,0
00:26:37,Rakan,true,0,2,0,0,0,3,0,0,0,0,4,1
00:35:46,Bard,true,1,0,0,14,0,0,0,0,0,0,1,0
00:33:52,Rakan,true,1,0,0,15,0,0,0,0,0,0,4,1
00:19:58,Rakan,false,1,0,0,5,0,1,0,0,0,0,0,0
00:19:51,Bard,false,0,0,0,3,0,3,0,0,1,0,0,0
00:22:37,Rell,false,0,0,0,0,0,0,0,0,0,0,1,0
00:41:00,Rakan,false,1,0,0,7,0,1,0,0,1,0,3,1
00:32:42,Nautilus,true,0,0,0,17,0,1,0,0,0,0,3,0
00:28:39,Rakan,true,2,0,0,3,0,3,0,0,0,0,12,3
00:15:23,Ornn,true,0,0,0,1,0,0,0,0,0,0,0,0
00:23:44,Xayah,false,0,0,0,9,0,3,0,0,0,0,0,0
